"","s.cushion","s.open","index","stat","p.value"
"Carex_ericetorum",1,0,1,0.0413064153281581,0.004
"Carex_firma",1,1,3,0.106773833244845,NA
"Carex_fuliginosa",0,1,2,0.0307828948498847,0.124
"Carex_geyeri",1,0,1,0.159048361020435,0.001
"Carex_lachenalii",1,1,3,0.0238753549353701,NA
"Carex_nardina",1,1,3,0.0618656735477592,NA
"Carex_parryana",1,0,1,0.0255238280445078,0.12
"Carex_parviflora",1,0,1,0.0628202145296041,0.001
"Carex_phaeocephala",1,1,3,0.118004582255202,NA
"Carex_podocarpa",1,1,3,0.0656959733321009,NA
"Carex_rupestris",1,0,1,0.0163250952696794,0.738
"Carex_sempervirens",1,1,3,0.0502437057493445,NA
"Carex_sp",1,0,1,0.0672275536810716,0.005
"Carex_sp1",1,1,3,0.0460137353802993,NA
"Carex_sp10",1,1,3,0.0765714841335234,NA
"Carex_sp11",1,1,3,0.0360961437842217,NA
"Carex_sp13",1,0,1,0.0394924459573463,0.006
"Carex_sp14",1,1,3,0.0372070533749571,NA
"Carex_sp15",1,1,3,0.0556278935491594,NA
"Carex_sp2",1,0,1,0.0221042834883694,0.215
"Carex_sp3",1,0,1,0.0303794318670479,0.063
"Carex_sp4",0,1,2,0.0127619140222539,1
"Carex_sp5",1,1,3,0.0238753549353701,NA
"Carex_sp6",1,1,3,0.052618719498804,NA
"Carex_sp7",1,0,1,0.0936510744527201,0.001
"Carex_sp8",1,1,3,0.155255384858907,NA
"Carex_sp9",1,1,3,0.032536624315133,NA
"Carex_stenophylloides",1,0,1,0.0127619140222539,1
"Carex_tristicha",0,1,2,0.101797181016921,0.001
"CaryUnk_sp",0,1,2,0.0236304730267437,0.405
"CaryUnk2_sp",1,1,3,0.0238753549353701,NA
"CaryUnk3_sp",1,1,3,0.0541442156763325,NA
"CaryUnk4_sp",1,1,3,0.0285365072767675,NA
"CaryUnk5_sp",1,1,3,0.032536624315133,NA
"Cassiope_hypnoides",1,0,1,0.0256753060986706,0.216
"Castilleja_miniata",1,1,3,0.0337648507560718,NA
"Castilleja_nubigena",1,1,3,0.0631682516223879,NA
"Castilleja_pallescens",1,1,3,0.0255238280445078,NA
"Catabrosella_parviflora",1,1,3,0.0127619140222539,NA
"Celmisia_bondplanii",1,0,1,0.0127619140222539,1
"Celmisia_glandulosa",1,1,3,0.0127619140222539,NA
"Celmisia_laricifolia",1,0,1,0.100595404449251,0.001
"Celmisia_lyallii",1,1,3,0.0127619140222539,NA
"Celmisia_sessiliflora",1,0,1,0.0353027250543234,0.013
"Celmisia_spectabilis",1,1,3,0.0494266804739203,NA
"Celmisia_viscosa",1,0,1,0.0482902830410629,0.001
"Centaurea_maculosa",1,0,1,0.0156300887478959,1
"Centaurea_sp",1,1,3,0.0644445068453527,NA
"Cerastium_alpinum",1,1,3,0.0577820232856527,NA
"Cerastium_arvense",1,0,1,0.213733177889367,0.001
"Cerastium_beeringianum",1,0,1,0.0733242360272803,0.001
"Cerastium_floccosum",1,1,3,0.071055330094606,NA
"Cerastium_imbricatum",1,1,3,0.039334860751734,NA
"Cerastium_lanatum",1,1,3,0.0733116145905696,NA
"Cerastium_latifolium",1,1,3,0.0681299773306503,NA
"Cerastium_nutans",1,0,1,0.031584125811194,0.084
"Cerastium_sp",1,1,3,0.0644445068453527,NA
"Cerastium_sp1",1,1,3,0.080207385917385,NA
"Cerastium_sp2",1,0,1,0.0180480718921108,1
"Cerastium_sp3",0,1,2,0.0127619140222539,1
"Cerastium_trianae",1,0,1,0.057251089914664,0.001
"Cerastrium_vulgare",1,1,3,0.0221042834883694,NA
"Chaenorhinum_glareosum",1,1,3,0.0270721078381663,NA
"Chaetanthera_apiculata",0,1,2,0.0312601774957917,0.035
"Chaetanthera_euphrasioides",0,1,2,0.105531432189452,0.001
"Chaetanthera_lycopodioides",0,1,2,0.129519281574885,0.001
